#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1717166115322634071,0.0,0.0,0.0,3.758565431505076e-37,1.7632416383373084e-37,9.8100004196167
1717166115378408663,-2.7330315788276494e-06,-1.8087047237713705e-06,4.711613321717323e-10,-1278.97314453125,-599.9999389648438,-1035.100341796875
1717166115395875040,-1.723450395729742e-06,-5.605017463494733e-07,1.312878694648134e-10,-0.00015624999650754035,-7.812499825377017e-05,13.744062423706055
1717166115484052805,4.803144975085161e-07,-1.4989235808116064e-07,-1.3362100315106318e-10,0.0,7.812499825377017e-05,12.409844398498535
1717166115497509238,-3.8935503710035846e-08,-4.4738854398929107e-07,-5.7236111683511837e-11,0.0,0.0,11.518516540527344
1717166115543483271,1.5434920896950644e-07,-3.359247955359024e-07,-1.0976275444107841e-10,0.0,0.0,10.9291410446167
1717166115594458175,2.680652357867075e-07,-2.714914728585427e-07,-1.4638959489055026e-10,0.0,0.0,10.54117202758789
1717166115638974990,-4.820082040168927e-07,1.633045627613683e-07,-1.131170712653784e-10,0.0,0.0,10.286328315734863
1717166115688889479,5.283844188852527e-07,-1.7814882369293628e-07,-5.3082017947847504e-11,0.0,0.0,10.119375228881836
1717166115749110663,6.684157369818422e-07,-1.4518062130264298e-07,-4.853747265221031e-11,0.0,0.0,10.010625839233398
1717166115796219623,8.216501328206505e-07,-1.1856136694632369e-07,2.3045287900202993e-11,0.0,0.0,9.93960952758789
1717166115839258842,-7.796365220080759e-10,-4.457485829334473e-07,-1.063332755180113e-10,0.0,0.0,9.893750190734863
1717166115897187721,9.075009188563854e-07,-4.7881417941653126e-08,-4.8539505748124157e-11,0.0,0.0,9.863750457763672
1717166115950440754,-5.595233005806222e-07,-1.1772709029855832e-08,-1.5104251183117867e-10,0.0,7.812499825377017e-05,9.844687461853027
1717166115988717902,0.0,0.0,0.0,0.0,-7.812499825377017e-05,9.87109375
1717166116040302865,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116096376718,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116138521529,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116202778237,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116253719992,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116301716804,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116355705165,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116404574047,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116438965831,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116494948081,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116548695970,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116599820826,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116653806286,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116694016441,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116739145257,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116791413323,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116850829701,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116896286291,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116947434103,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166116998172887,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117039890182,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117091414904,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117146052950,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117201848294,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117249442539,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117305156140,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117353492752,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117388837736,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117451682181,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117501241723,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117550335554,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117589146085,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117639279304,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117688623121,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117738948403,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117793504304,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117856085300,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117906099248,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117943409469,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166117988804232,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118038500670,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118101825756,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118152269109,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118201329049,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118243018081,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118291479155,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118346803040,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118389971440,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118440008863,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118497022250,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118545442212,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118595513667,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118651203228,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118703637123,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118741035206,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118791744674,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118843870074,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118895518162,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118946931267,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166118988514229,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119045493224,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119090004719,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119151310803,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119203025137,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119245615433,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119296579844,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119345485172,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119392886530,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119447004447,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119495046522,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119546701339,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119592411341,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119644368257,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119696066748,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119744879428,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119793603985,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119851006074,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119889630049,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119938967597,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166119989308421,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166120044691762,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166120094220948,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166120146464543,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717166120196181993,1.394108721797238e-06,1.883929279244967e-08,8.475747881320217e-12,0.0,0.0,9.554922103881836
1717166120240569951,-1.7181333760163398e-06,2.27289724819002e-08,1.5135925846010423e-10,0.0,-7.812499825377017e-05,9.982421875
1717166120289667336,3.8465586271740904e-07,3.751744372948451e-07,5.4998408605122506e-11,0.0,7.812499825377017e-05,9.890469551086426
1717166120339707391,-1.1270713002886623e-06,-3.422040890654898e-07,-1.0115053239445615e-10,0.0,0.0,9.842812538146973
1717166120394276771,1.287480358769244e-06,-3.1745424067253225e-09,1.0159845187374117e-10,0.0,7.812499825377017e-05,9.819063186645508
1717166120447395051,-3.5415030197327724e-07,-8.66841975977195e-09,4.5796449965607167e-11,0.0,-7.812499825377017e-05,9.808281898498535
